time,iteration,gpu_name,label,mclk,gpcclk,power,unit(V),unit(I),perf,total_fb_power
14:14:45,0,GA104,FBVDD_GPU_V_GA104_Hynix_1x ,7000,1005,-10958.803507999999,Voltages(V),Current(mA),47.12,8119.5654280000035
14:14:45,0,GA104,FBVDD_MEM_V_GA104_Hynix_1x ,7000,1005,19078.368936000003,Voltages(V),Current(mA),47.12,8119.5654280000035
14:14:45,0,GA104,FBVDD_GPU_V_GA102 ,7000,1005,3041.396523,Voltages(V),Current(mA),47.12,6470.5249619999995
14:14:45,0,GA104,FBVDD_MEM_V_GA102 ,7000,1005,3429.128439,Voltages(V),Current(mA),47.12,6470.5249619999995
time,iteration,gpu_name,label,mclk,gpcclk,power,unit(V),unit(I),perf,total_fb_power
19:46:27,0,GA104,FBVDD_GPU_V_GA104_Hynix_1x ,7000,1005,-10958.803507999999,Voltages(V),Current(mA),47.12,8119.5654280000035
19:46:27,0,GA104,FBVDD_MEM_V_GA104_Hynix_1x ,7000,1005,19078.368936000003,Voltages(V),Current(mA),47.12,8119.5654280000035
19:46:27,0,GA104,FBVDD_GPU_V_GA102 ,7000,1005,3041.396523,Voltages(V),Current(mA),47.12,6470.5249619999995
19:46:27,0,GA104,FBVDD_MEM_V_GA102 ,7000,1005,3429.128439,Voltages(V),Current(mA),47.12,6470.5249619999995
time,iteration,gpu_name,label,mclk,gpcclk,power,unit(V),unit(I),perf,total_fb_power
20:38:47,0,GA104,FBVDD_GPU_V_GA104_Hynix_1x ,7000,1200,-16147.652399999999,Voltages(V),Current(mA),51.25,4226.348147000001
20:38:47,0,GA104,FBVDD_MEM_V_GA104_Hynix_1x ,7000,1200,20374.000547,Voltages(V),Current(mA),51.25,4226.348147000001
20:38:47,0,GA104,FBVDD_GPU_V_GA102 ,7000,1200,21237.19063,Voltages(V),Current(mA),51.25,43039.035662
20:38:47,0,GA104,FBVDD_MEM_V_GA102 ,7000,1200,21801.845032,Voltages(V),Current(mA),51.25,43039.035662
